Good experience with Ola cab,,,,,Bad experienced with Uber cab,,
Attributes,Sub-attribute,Marks out of 10,,,Attributes,sub-attribute,Marks out of 10
,,,,,,,
,looking punctual,,,,,looking punctual,
Timely reached, On time,10,,,Timely reached, On time,4
,,,,,,,
,,,,,,,
,Respectful,,,,,Respectful,
Behaviour,Patience,10,,, behaviour,Patience,3
,,,,,,,
,,,,,,,
,well dress,,,,,well dress,8
In uniform,clean,10,,,In uniform,clean,
,,,,,,,
,,,,,,,
,,,,,,,
honest,truth,10,,,honest,truth,2
,sincere,,,,,sincere,